geneSymbol	B_cells	CD4T_memory	CD8T_B	CD8T_G	Dendritic_cells	Monocytes_Macrophages	NK1	NK2	NK3	Plasma_cells	Tregs
AAK1	0.1207	4.5997	3.59795	3.86945	0.72765	3.49785	3.9582	3.4432	3.583	0.8863	3.94485
AC003104.1	0.3818	1.2164	1.8629	1.4175	0.12545	0.23725	1.51615	1.3916	2.3817	0.0341	1.81215
AC004453.8	3.2095	3.89755	2.78735	2.91	2.15695	2.47425	2.64505	2.1955	2.34275	1.03085	2.22655
AC006460.2	0.08905	0.07345	0.86555	0.23825	0	0.0903	0.6557	0.2333	1.03605	0.12105	0.55545
AC009245.3	1.5451	2.2759	1.79825	1.7255	1.7362	0.94585	1.39275	1.4368	1.45985	0.43985	1.5702
AC017002.1	0	0.18055	2.29255	0.2398	0.06185	0.24575	2.7126	0.42835	2.20495	0.44525	4.3868
AC069363.1	0.0092	0	1.51765	0.3889	0.0489	1.38445	0.44305	0.22255	1.8806	0	0.11475
AC092580.4	0.0275	1.04135	3.0814	1.3019	0	0.06935	2.06065	1.1555	3.05045	0.0324	0.48595
ACE	0.08015	0.18555	0	0.1438	8e-04	2.90635	0.00165	0.14505	0.02785	0.0107	0.04195
ACTA2	0.3335	0.5043	1.304	0.60155	0.44245	0.63105	1.4594	0.4048	2.1936	0.2393	1.709
ADAM28	6.0755	0.11085	0.0674	0.1428	0.66055	2.8284	0.35715	0.3503	0.59265	1.9294	0.17185
ADRB2	0.42835	0.48155	0.517	1.3103	0.703	1.8519	0.33445	1.82335	0.29905	0.5569	0.11315
ADTRP	0.02965	0.4365	0.266	0.021	0.4708	0.1513	0.5483	0.16785	0.6185	0.0898	1.6041
AE000661.37	0.0399	0.17005	0.16185	0.0621	0	0.0173	0.7181	1.12225	0.8995	0.0124	0.2375
AFAP1L2	0.3601	0.0201	2.3792	0.45315	0	0.0459	1.57245	0.06585	2.3147	0.0278	0.39625
ANKRD28	0.76385	0.8808	1.5144	0.82825	0.7142	2.118	1.3018	1.1254	1.0186	4.3087	0.9439
ANKRD36BP2	0.2694	0.2168	0.0698	0.1018	0.09855	0.03035	0.17975	0.1927	0.10925	3.58985	0.19915
ANPEP	0.02065	0.0127	0.01325	0	0.09375	5.94425	0	0	0.00225	0.01585	0
