cell	type
A10_P3_M11	NK2 cells
A11_P1_M11	NK2 cells
A11_P3_M11	NK2 cells
A11_P4_M11	CD4 T.reg cells
A12_P3_M11	NK2 cells
A12_P6_M11	NK3 cells
A2_P1_M11	NK2 cells
A2_P4_M11	CD8_G cells
A3_P1_M11	NK3 cells
A3_P3_M11	CD4 T.reg cells
A4_P3_M11	CD8_B cells
A4_P4_M11	CD8_B cells
A4_P6_M11	CD8_G cells
A5_P4_M11	CD4 T.reg cells
A5_P5_M11	Dendritic cells
A6_P1_M11	NK2 cells
A6_P4_M11	CD4 T.reg cells
A6_P6_M11	CD8_B cells
A7_P2_M11	CD8_G cells
A7_P6_M11	NK3 cells
A8_P1_M11	NK2 cells
A8_P6_M11	NK2 cells
A9_P1_M11	CD4 T.reg cells
A9_P4_M11	CD8_B cells
B10_P1_M11	CD8_G cells
B10_P3_M11	CD8_G cells
B10_P4_M11	NK2 cells
B10_P6_M11	CD8_B cells
B11_P6_M11	CD8_G cells
B12_P3_M11	CD8_G cells
B12_P4_M11	NK3 cells
B1_P2_M11	NK2 cells
B1_P4_M11	unclustered
B2_P1_M11	NK2 cells
B2_P5_M11	CD8_B cells
B2_P6_M11	CD4 T.mem cells
B3_P1_M11	NK2 cells
B3_P5_M11	unclustered
B4_P1_M11	NK2 cells
B4_P4_M11	NK3 cells
B4_P6_M11	unclustered
B5_P1_M11	unclustered
B5_P6_M11	unclustered
B6_P1_M11	CD8_G cells
B7_P4_M11	unclustered
B8_P6_M11	NK2 cells
B9_P2_M11	NK2 cells
C10_P4_M11	NK2 cells
C10_P6_M11	CD8_G cells
C11_P4_M11	CD8_G cells
C11_P6_M11	CD8_G cells
C12_P4_M11	CD8_B cells
C1_P3_M11	unclustered
C1_P4_M11	CD8_B cells
C2_P6_M11	Monocytes/Macrophages
C3_P1_M11	CD8_B cells
C4_P1_M11	CD8_G cells
C4_P3_M11	CD8_B cells
C4_P4_M11	CD4 T.mem cells
C4_P6_M11	CD8_B cells
C5_P3_M11	NK2 cells
C5_P5_M11	CD4 T.reg cells
C5_P6_M11	NK2 cells
C6_P2_M11	CD4 T.reg cells
C6_P3_M11	CD4 T.reg cells
C6_P4_M11	CD8_B cells
C7_P3_M11	CD8_G cells
C7_P5_M11	NK2 cells
C7_P6_M11	CD8_G cells
C8_P3_M11	NK2 cells
C8_P5_M11	CD8_B cells
C9_P1_M11	unclustered
C9_P2_M11	NK2 cells
C9_P4_M11	CD8_G cells
D10_P1_M11	CD8_G cells
D10_P6_M11	unclustered
D11_P6_M11	CD8_G cells
D12_P6_M11	CD8_B cells
D1_P1_M11	CD8_G cells
D1_P4_M11	CD8_B cells
D1_P6_M11	Dendritic cells
D2_P4_M11	unclustered
D2_P6_M11	CD8_G cells
D3_P1_M11	CD8_G cells
D3_P3_M11	NK2 cells
D3_P6_M11	CD8_G cells
D4_P1_M11	CD8_G cells
D4_P3_M11	CD8_B cells
D4_P4_M11	CD8_G cells
D4_P6_M11	CD8_G cells
D5_P4_M11	CD8_G cells
D5_P5_M11	NK2 cells
D5_P6_M11	NK3 cells
D6_P1_M11	unclustered
D6_P3_M11	CD8_G cells
D6_P5_M11	CD8_B cells
D6_P6_M11	CD8_G cells
D7_P3_M11	CD8_B cells
D7_P5_M11	CD8_G cells
D8_P2_M11	NK2 cells
D8_P3_M11	CD4 T.reg cells
D8_P4_M11	NK2 cells
D9_P3_M11	CD8_G cells
D9_P4_M11	CD4 T.reg cells
D9_P5_M11	CD8_B cells
E10_P2_M11	CD8_G cells
E10_P4_M11	NK2 cells
E10_P6_M11	Dendritic cells
E11_P6_M11	CD4 T.reg cells
E12_P6_M11	CD8_G cells
E1_P4_M11	NK3 cells
E2_P5_M11	NK3 cells
E4_P1_M11	NK2 cells
E4_P3_M11	CD8_G cells
E4_P6_M11	NK2 cells
E5_P3_M11	NK2 cells
