,avg.expression
ICA1,2.32328255902513
PHTF2,3.9668012185834
ETV7,2.23016755521706
CD4,6.96111195734958
IKZF2,2.31671744097487
FOXP3,3.16432597105864
MAST4,1.65194973343488
IL12RB2,1.97086062452399
PBX4,2.27430312261995
DUSP16,2.42208682406702
VDR,2.21009139375476
IL1R2,0.978141660319878
IL1R1,0.675590251332826
IL18R1,2.04563594821021
THADA,2.93351865955826
SLAMF1,3.12032749428789
EPHX2,1.4683244478294
IKZF4,1.6750495049505
SDC4,2.56308453922315
HS3ST3B1,2.73584158415842
MICAL2,2.38467631378522
IL2RA,3.20447067783701
TBC1D4,3.65902513328256
STAM,2.99070830159939
FBLN7,2.1380198019802
BATF,5.99084539223153
TIAM1,2.39932216298553
CTLA4,6.38475247524752
ICOS,5.56012185833968
PTPN13,0.856504188880426
FAAH2,2.05664127951257
LAIR2,1.42675552170602
MAL,1.56961157654227
CORO1B,3.54163747143945
RP1-232L22__B.1,1.40108149276466
ZC3H12D,3.59884234577304
CD28,4.68162223914699
MAF,4.12690022848439
CCR8,2.67119573495811
RTKN2,2.26690784463062
TSHZ2,0.806595582635187
CCR4,2.0481721249048
TMEM173,6.17530845392232
BTLA,2.31670982482864
TNFRSF4,5.23511043412033
TNFRSF18,6.4242650418888
ESPN,1.29022086824067
MAGEH1,2.90914699162224
F5,2.05776846915461
GK,3.15087585681645
LAYN,2.27185833968012
TNFRSF25,3.66830159939071
LTA,1.7742650418888
HNRNPA1P21,1.42044935262757
RP11-265P11.2,0.794897182025895
RP11-436I24.1,1.04127189642041
BHLHE40-AS1,1.80374714394516
AC017002.1,3.35728103579589
AC145110.1,0.841401370906321
RP11-603B24.1,1.03020563594821
RP11-214O1.3,0.895757806549886
