geneSymbol	B.cells	CD4.T.mem.cells	CD4.T.reg.cells	CD8_B.cells	CD8_G.cells	Dendritic.cells	Monocytes.Macrophages	NK1.cells	NK2.cells	NK3.cells	Plasma.cells
ACE	248.372342678654	832.31683264454	87.9043399334079	0	460.016588634319	0	3156.18571828498	0	421.484153279149	21.4876655481025	54.9252413566535
ACTA2	1015.92169784019	1246.19950115608	4565.76057284328	1580.85003420653	1501.02478300431	903.855556498411	797.245412288804	1696.11943051985	1120.59863346423	5161.29471482145	627.277055493743
ADAM28	12614.4452869479	629.623560968801	516.895832212591	76.3950191501238	638.104274753474	1468.83415674005	3016.09863212793	655.783446584694	1115.81190368999	1087.78647472721	6054.60954954886
ADAP2	499.978173951986	0	64.0969145347766	6.71749306320055	39.4596622304834	526.958258807954	5405.01734916013	0	187.942126925431	0	162.979104025584
ADARB2	71.5409351572365	2729.683640711	1072.24981314605	170.835068685708	738.051445534633	0	20.1734420129624	118.176444202385	955.582422825949	444.007504939504	13.8596403423331
ADCY9	0	602.011154198603	46.470263037713	45.310149289039	1147.70504421689	116.999794653422	181.110174943188	51.8698771309928	389.740576881556	87.0144080116229	0
ADRB2	964.590066399688	1129.07434716381	326.665346575451	427.812107240693	3096.28546988799	1882.28241068801	2440.64838118834	419.558316497981	4218.36859683567	293.381096938944	1737.07492290575
ADTRP	0	1620.63587428162	4497.08530727031	436.637049108035	109.033277215809	1136.5694337761	160.936732930225	788.141064091366	590.279361107619	1127.35781920193	233.817265775286
AFAP1	0	2327.63486081526	1370.30046573276	165.829877775872	765.569367879575	66.8570255162409	1603.50688804709	478.071626167919	1096.161118301	682.286568443214	2.05328005071602
AFAP1L2	1245.70148109945	121.98008265516	880.416904645538	3387.32880600644	903.937788727257	0	103.459328312288	1938.98799314551	300.808176339094	5058.96236701316	142.702963524763
AFF3	7344.26306369811	2126.45875434668	1719.39973239538	242.488328026514	0	6417.17241067699	18.2575285256978	481.137825801278	801.399337466213	1271.38900312337	42.6055610523574
ALG5	2537.88436074739	3160.25512650124	4237.95063850828	5983.04715495729	2046.45077212434	6667.15156377481	5632.78565255788	4729.48517613848	3111.37435325612	3877.35351103136	13096.5901434858
ANK3	1052.29844453031	5562.83794854989	1140.23832606329	149.628865094036	3590.82926297399	302.325999999265	121.153352871143	184.994044546004	3526.30824473894	1012.68601989077	0
ANKRD28	1854.40570904746	2444.15314872467	2335.41686458497	2552.64736401621	2471.680553266	1416.11996354455	2826.08509450863	1346.95594727108	3336.35065264541	2366.62169858507	10698.6157042558
ANKRD36BP2	662.460975834523	740.680054132455	485.305210049023	139.750198824623	246.363285899531	220.040430133123	31.8943245232869	242.357529353432	444.4100695663	182.964280904635	9825.9716827015
ANPEP	83.4644243501092	77.0719925234098	0	0	0	155.754828675199	6919.37790965273	0	0	9.57371237291695	72.6347817940791
ANTXRLP1	0	4045.36930835472	2468.41796224463	1032.91334512978	1863.17102518539	128.02018347478	38.9944745055027	1411.72941452579	1571.30703168085	3665.88084217182	0
ANXA1	332.240953103098	20196.806670672	4097.6241791875	7518.71875542503	21030.4423506017	1978.7108128749	10216.1015172682	4852.77195306313	15953.4145381045	8927.38041316313	575.175074206824
AOAH	250.99955216183	3301.65492380796	1125.12976763724	2435.02537763507	10210.1876021376	239.509783717522	5741.42921736512	1873.06470102829	9521.30938725576	6064.84041366096	475.847651753437
APBA2	120.447450151731	1407.62587919724	0	213.774338070088	3462.32575768393	0	25.5830800946506	115.238002887082	2143.19527312954	445.071250758717	61.85506152782
APOBEC3H	83.2623313129419	600.493988991449	3445.43807379615	1421.07907174256	897.447712702507	0	139.748983776946	3335.89744277673	1226.41055478954	3138.47566500602	0
ARHGAP24	10031.8983649865	98.9191715064237	752.223075575985	91.9374540806663	386.548928034143	4272.42107289363	1079.78630126365	364.111206461402	819.28659083311	338.05842134589	222.267565490009
ARHGAP26	1013.29448835702	2164.38788452552	2598.67204928137	2314.24221804772	6810.16657429125	1032.05941312021	3140.7457095935	1614.99289855389	3631.36436662621	3312.92997935695	1091.5750069619
ARHGEF10L	0	0	0	53.0813667543102	0	0	5349.45585802946	0	26.2010471853147	0	46.9687811601289
ASF1B	299.50188108199	253.670022636105	941.537891005486	7471.43287288211	54.2570355669146	108.918176184425	3170.16061666268	7550.13332219281	304.587173529284	527.830675493488	834.658340616061
ASPM	393.475143364801	0	375.424785132263	4053.15091256485	3.89404561485033	69.4284495745579	1253.12012146441	4751.58736516227	509.660754383574	559.317551742192	329.551448139921
ASTL	488.458870833448	565.599189226913	857.296231902637	630.785770189557	1259.85355792458	90.3671883351388	444.830031425489	252.961469752132	2570.97775505901	1065.87331085142	167.855644146034
ATP8B4	142.677684240138	0	316.821891843324	828.754242228585	496.880220454902	0	2551.65866265632	393.878894568598	2488.84754945889	2532.35329721845	11.0363802725986
