sample	mhci_all	mhci_max	mhcii_all	mhcii_max
Pt10_on	33	1	111	1
Pt10_pre	32	1	98	1
Pt102_on	481	15	2033	26
Pt102_pre	470	14	2053	30
Pt103_on	24	2	57	0
Pt103_pre	4	0	10	0
Pt106_pre	295	24	2957	34
Pt108_pre	10	0	125	2
Pt11_on	69	4	203	5
Pt11_pre	67	4	193	4
Pt13_on	199	10	358	7
Pt13_pre	204	10	359	7
Pt17_on	7	1	9	0
Pt17_pre	7	1	9	0
Pt18_pre	178	9	571	8
Pt23_on	714	26	2185	37
Pt23_pre	624	22	1794	30
Pt25_pre	94	5	170	0
Pt26_on	77	1	464	3
Pt26_pre	79	1	477	3
Pt27_on	176	10	532	3
Pt27_pre	178	10	504	3
Pt28_on	40	2	109	0
Pt28_pre	38	1	81	0
Pt29_pre	441	17	1195	15
Pt3_on	131	8	345	7
Pt3_pre	136	8	371	8
Pt30_pre	25	0	188	3
Pt32_pre	115	5	644	5
Pt34_on	0	0	0	0
Pt34_pre	219	11	557	9
Pt36_pre	0	0	7	0
Pt37_on	12	0	33	1
Pt37_pre	12	0	40	1
Pt38_pre	298	14	1058	12
Pt4_pre	207	6	937	15
Pt44_pre	328	22	920	14
Pt46_pre	170	8	372	8
Pt47_on	866	49	2827	73
Pt47_pre	859	44	2797	72
Pt48_pre	28	2	132	3
Pt49_pre	553	21	2328	31
Pt5_on	38	3	80	4
Pt5_pre	30	3	63	3
Pt51_on	89	6	393	5
Pt51_pre	88	6	405	5
Pt52_on	274	15	949	8
Pt52_pre	265	14	894	7
Pt53_pre	34	1	38	1
Pt54_pre	8298	382	14805	420
Pt58_on	747	39	2877	53
Pt58_pre	611	32	2347	43
Pt59_pre	359	14	2091	5
Pt60_on	707	42	2891	24
Pt60_pre	664	39	2726	23
Pt65_pre	1642	121	2499	49
Pt66_on	117	5	202	3
Pt66_pre	112	5	195	3
Pt67_on	0	0	6	0
Pt67_pre	9	0	34	0
Pt68_pre	794	45	2642	37
Pt7_on	7	1	3	0
Pt7_pre	1442	40	6475	79
Pt70_on	380	15	1214	12
Pt70_pre	437	18	1378	18
Pt72_pre	450	32	1872	22
Pt74_pre	44	0	185	1
Pt76_pre	267	15	1236	11
Pt77_pre	18	1	82	0
Pt79_pre	530	32	642	14
Pt8_on	61	5	251	3
Pt8_pre	55	5	230	3
Pt82_on	21	0	55	3
Pt82_pre	23	0	60	3
Pt83_on	56	6	136	3
Pt83_pre	302	12	686	10
Pt85_pre	109	9	346	5
Pt86_on	471	25	996	28
Pt86_pre	483	25	1047	29
Pt87_pre	782	38	2419	22
Pt89_on	204	9	527	9
Pt89_pre	209	10	549	9
Pt9_on	359	10	1592	27
Pt9_pre	367	11	1609	27
Pt90_pre	160	4	272	6
Pt92_on	470	23	1573	3
Pt92_pre	483	24	1622	4
Pt93_on	370	10	1652	6
Pt94_pre	390	20	1218	17
Pt98_pre	14	0	55	1
